Mention,Start index,End index,Title,Wikipedia link
רב,0,0,אבא אריכא,https://he.wikipedia.org/wiki/אבא אריכא
רב,0,0,איסור שתיית יין לנזיר,https://he.wikipedia.org/wiki/איסור שתיית יין לנזיר
רב,0,0,מצוות פריקה,https://he.wikipedia.org/wiki/מצוות פריקה
רב,0,0,מרא דאתרא,https://he.wikipedia.org/wiki/מרא דאתרא
רב,0,0,מרדכי זילברמן (רב),https://he.wikipedia.org/wiki/מרדכי זילברמן (רב)
רב,0,0,צבר (סלנג),https://he.wikipedia.org/wiki/צבר (סלנג)
רב,0,0,רב,https://he.wikipedia.org/wiki/רב
רב,0,0,רב (אי),https://he.wikipedia.org/wiki/רב (אי)
רב,0,0,רב (אישה),https://he.wikipedia.org/wiki/רב (אישה)
רב,0,0,רב (אמורא),https://he.wikipedia.org/wiki/רב (אמורא)
רב,0,0,רב אמורא),https://he.wikipedia.org/wiki/רב אמורא)
רב,0,0,רב צבאי,https://he.wikipedia.org/wiki/רב צבאי
רב,0,0,רב שכונה,https://he.wikipedia.org/wiki/רב שכונה
